filePath,HEADER,START,END,REGION(S)-,NATION(S)-,ACTOR(S)-,COMMITTER(S)-,LOCATION(S)-,INTERVENOR(S)-,MODE-,MAGNITUDE-,COMBATANTS-,DEATHS-,FORCE-,ISSUE(S)-,OUTCOME(S)-,SOURCE(S)-
5-ocr-split/0004.tif-2.txt,SS TAN CAPTURE OF KANDAHAR 1738 to 1739,1738,1739,,"INDIA AFGHANISTAN
exe Conventional Interstate Magnitude- 36 Cambatants- 0
“mee 0 Force- Ground Forces
‘ane '3}- Territory-Population Colonial","Mid. East
@ o'si- IRAN/PERSIA INDIA
AFGHANISTAN",IRAN/PERSIA,,,,,,,,,Successful Conmitter,7
5-ocr-split/0004.tif-3.txt,aa OF JENKIN'S EAR Nov. 1739 to Jun. 1748,1739,1748,,"CUBA COLOMBIA
UNITED STATES
‘axe Conventional Interstate Magnitude- 515 Combatants- 0
we OQ Force- Naval Forces",7,,"Military-Strategic Colonial
‘xt one’s)- Campromise Committer",,,,,,,,,
5-ocr-split/0004.tif-4.txt,. RS UPRISING Mar. 1740 to Oct. 1740,1740,1740,,,RUNAN-CHINA,"HUNAN-CHINA
era ion(s}- CHINA
%x- Primarily Internal Magnitude- 7 Coambatants- 80000
eS 0 Force Ground Forces",,,,,,,,,Unsuccess. Cammitter,]
5-ocr-split/0005.tif-1.txt,13.WAR OF THE AUSTRIAN SUCCESSION Dec. 1740 to Oct. 1748,1740,1748,Europe,"GERMANY/PRUSSIA FRANCE
SPAIN AUSTRIA-HUNGARY
BRITAIN POLAND",,FRANCE SPAIN,POLAND AUSTRIA-HUNGARY,,Conventional Interstate,564,250000,90000,Ground Forces,Elite,Compromise Conmitter,1
5-ocr-split/0005.tif-2.txt,14.FIRST SILESIA WAR Dec. 1740 to Oct. 1742,1740,1742,Europe,"GERMANY/PRUSSIA AUSTRIA-HUNGARY
FRANCE BRITAIN",,GERMANY/PRUSSIA,AUSTRIA-HUNGARY,FRANCE BRITAIN,Conventional Interstate,66,0,0,Ground Forces,Territory-Population,Compromise Committer,7
5-ocr-split/0005.tif-3.txt,15.KUEICHO UPRISING 1741 to 1741,1741,1741,Asia,"CHINA,",(s)- KUEICHOW-CHINA,KUEICHOW-CHINA,CHINA,,Primarily Internal,6,700000,QO,Ground Forces,Territory-Population Internal Tension,Unsuccess. Cammitter,1
5-ocr-split/0005.tif-4.txt,16.TREATY OF ABO Aug. 1741 to Aug. 1743,1741,1743,Europe,SWEDEN RUSSIA (USSR),,SWEDEN,RUSSIA (USSR),,Conventional Interstate,48,60000,8000,Ground Forces,Territory-Population,Unsuccess. Canmmitter,1 7
5-ocr-split/0006.tif-1.txt,- SECFWAN UPRISING 1747 to 1749,1747,1749,Asia,CHINA,SZECHUAN-CHINA,| SZECHUAN-CHINA,CHINA,,Primarily Internal,24,70000,Q,Ground Forces,Internal Tension Territory-Population,Unsuccess. Committer,1
5-ocr-split/0006.tif-2.txt,‘3.438 OVER COLONIAL POSSESSIONS 1750 to 1756,1750,1756,"FRANCE BRITAIN
UNITED STATES INDIA",,,FRANCE BRITAIN,| UNITED STATES INDIA,,Colonial,288,40000,QO,Naval Forces Ground Forces,Territory-Population Colonial,Compromise Committer,1
5-ocr-split/0006.tif-3.txt,.-DZQUNGAR MASSACRES IN CHINA 1755 to 1757,1755,1757,Asia,CHINA,DZOUNGAR-CHINA,CHINA,CHINA,,Primarily Internal,24,110000,600000,Ground Forces,Territory-Population Elite,Unsuccess. Conmitter,1
5-ocr-split/0007.tif-1.txt,20.THE SEVEN SEARS WAR My 1756 to Feb. 1763,1756,1763,Asia Suyope amar icas,"BRITAIN FRANCE.
RUSSIA. (USSR) AUST.R A-HUNGLRY
GERMANY/PFUSSIA SWEDEY
SPAIN GERMELY/PRUSSTA",,"FRANCE FUSSTP. (USSR)
AUSTRIA-HUNGARY BRITAIN","FRANCE RUSSIA (USSR)
AUSTRIA-HUNGARY GERMANY/PRUSSIA,
SKEDEM SFALN",,Conventionel Interstate,€48,350060,350000,Naval Forces Ground! Forces,Elite Military-Strategic,Cumoranise Commtter,1
5-ocr-split/0007.tif-2.txt,21 .TURKESTAN PEVOL? 2738 to 1739,2738,1739,Asia,CHOWA TURMESTAN WasT,,TURKESTAN WEST,TIRKESTAN WEST,,Primacviay Irternad.,24,20000,0,Groux’ Forces,Tacritory-Popula’:iorn,Successful Comnittec,1
5-ocr-split/0007.tif-3.txt,22-FIRST YINNAM INVASION OF BURMP. 1763 to 1763,1763,1763,Asia,BUPME CHIMA,YUNNAN-CQUNA,YJUNNAN-CHOVA,- BURA,,Conventionei Interstete,12,20000,0,Grourd Forces,Clonial,Successful Cormiiter,3.
5-ocr-split/0007.tif-4.txt,"23-ONITIA, BRITISH CONQUEST OF iNTIA 162 to Och. 17€4",162,17€4,Asia,BRITATN TYDta,,BRITAIN,s) - INDIA,,Colonia).,32,60000,- Q,Grour.e Forces,Colonies,Sucvessful Canmitter,1
5-ocr-split/0008.tif-1.txt,*. SEND YUNNAN-BURMESE INVASION 1765 to 1770,1765,1770,BURMA CHINA,,YUNNAN-CHINA,YUNNAN-CHINA,BURMA,,Conventional Interstate,120,120000,400,Ground Forces,Territory-Population Colonial,Successful Conmitter,1
5-ocr-split/0008.tif-2.txt,"\
i
*.SOLAND PARTITION 1768 to 1772",1768,1772,"RUSSIA (USSR) GERMANY/PRUSSIA
AUSTRIA-HUNGARY POLAND",,,"RUSSIA (USSR) GERMANY/PRUSSIA
AUSTRIA-HUNGARY",POLAND,,Internal(External Invol.),192,30000,QO,Ground Forces,"Territory-Population Military-Strategic
Opportunism",Successful Conmitter,1
5-ocr-split/0008.tif-3.txt,-.RUSSO-TURKISH WAR Oct. 1768 to Jul. 1774,1768,1774,Europe,RUSSIA (USSR) TURKEY,,RUSSIA (USSR),TURKEY,,Conventional Interstate,138,140000,O,Ground Forces,Military-Strategic Colonial,Successful Committer,1
5-ocr-split/0008.tif-4.txt,77.SZECHWAN MASSACRES 1771 to 1776,1771,1776,Asia,CHINA,SZECHUAN-CHINA,CHINA,CHINA,,Primarily Internal,60,60000,120000,Ground Forces,Territory-Population,Unsuccess. Conmitter,1
5-ocr-split/0009.tif-1.txt,28.REVOLT OF POUGATCHEN INVOLVING COSSACKS 1773 to 1775,1773,1775,Europe,RUSSIA (USSR),POUGATCHEN-RUSSIA,POUGATCHEN-RUSSIA,RUSSIA (USSR),,Primarily Internal,24,30000,18000,Ground Forces,Internal Tension,Unsuccess. Committer,1]
5-ocr-split/0009.tif-2.txt,"(22, )peNSTON OF BRITISH CONQUEST OF INDIA 1773 to 1818",1773,1818,Asia,BRITAIN INDIA,,BRITAIN,INDIA,,Colonial,1080,120000,O,Ground Forces,Colonial,Successful Conmitter,1
5-ocr-split/0009.tif-3.txt,30.REVOLT OF SHANTUNG 1774 to 1774,1774,1774,Asia,CHINA,SHANTUNG-CHINA,SHANTUNG-CHINA,CHINA,,Primarily Internal,6,40000,30000,Ground Forces,Internal Tension,Unsuccess. Committer,1
5-ocr-split/0009.tif-4.txt,31.WAR OF AMERICAN INDEPENDENCE Apr. 1775 to Sep. 1783,1775,1783,Americas,"BRITAIN FRANCE
SPAIN HOLLAND
UNITED STATES",,UNITED STATES,UNITED STATES,"FRANCE SPAIN
HOLLAND",Colonial,354,120000,20000,Naval Forces Ground Forces,Colonial,Successful Conmitter,1
5-ocr-split/0010.tif-1.txt,‘: WRERTAN SUCCESSION 1777 to May. 1779,1777,1779,"GERMANY/PRUSSIA AUSTRIA-HUNGARY
BAVARTA",,,AUSTRIA-HUNGARY,BAVARIA,,Internal(External Invol.),69,20000,2000,Ground Forces,Territory-Population Colonial,Unsuccess. Conmitter,1
5-ocr-split/0010.tif-2.txt,. REPRESSION OF MOSLEMS IN KANSONG 1781 to 1784,1781,1784,Asia,CHINA,MOSLEMS-CHINA,CHINA,CHINA,,Primarily Internal,36,60000,0,Ground Forces,Internal Tension,Successful Committer,1
5-ocr-split/0010.tif-3.txt,“.SUSSIAN CONQUEST OF CAUCASUS 1783 to 1788,1783,1788,Asia,"RUSSIA (USSR) IRAN/PERSIA
GEORGIA CAUCASUS",,RUSSIA (USSR),"TRAN/PERSIA GEORGIA
CAUCASUS",,Conventional Interstate,240,80000,OQ,Ground Forces,Territory-Population,Successful Committer,1
5-ocr-split/0010.tif-4.txt,i. FORMOSA REBELLION 1786 to 1788,1786,1788,Asia,CHINA TAIWAN/FORMOSA,,TATWAN/FORMOSA,TAIWAN/FORMOSA,,Primarily Internal,48,40000,OQ,Ground Forces,Internal Tension,Unsuccess. Committer,1
5-ocr-split/0011.tif-1.txt,36. RUSSO-TURKISH WAR Aug. 1787 to 1792,1787,1792,Evrope,"RJSSIA (USSR) TURKEY
AUSTRIA-HUNGARY",,PUSSIA (USSR),TURKEY,AUSTRIA-|INGARY,Convertionazl Interstate,145,9000),0,Cround Forces,Colonial,Successful Ganmitter,1
5-ocr-split/0011.tif-2.txt,"37 -AUSTRIAN-TURFISH WAR Fer. 1.788 to Aug, 1731",1.788,1731,Europe,"BUSTPIA- HUNGARY ‘TURKEY
RUSSIA (USSR)",,AJSTRIA-HUNCARY,AUSTRLA-ABUNGATO” TURKEY,,Corventicoal Intecstate,126,8&CC00,O,Ground Forces,Tevritory-Fopulacion Military-strateyic,Compronise Cammitter,1
5-ocr-split/0011.tif-3.txt,38.CrDTESE DICIRSIOS INTO ANNAM 1788 to 1789,1788,1789,(s)- Asie,‘TRINA INDOCHINA/AN DAM,,Oonverticonal interstate Magutude- 24 Combatents- 45006,INDOCHLAWA/ANNAM,,,,,3N009,,Serritcry-Populaticn,Successful Cammitter:,]
5-ocr-split/0011.tif-4.txt,39.RUSSO-SWEDISH WAF. 1765 to Fer. 1790,1765,1790,Fucove,"SVEDEN RUSSIA (SSP)
DENMARK",,SWEDEN,FLSSTA (USSR),DENMARK,Convent-.onal Interstate,506,60000,G,Ground Forces,Territory-Papuiation,Unsuccess. Camnitter,1
5-ocr-split/0012.tif-1.txt,ae OF BELGIUM Aug. 1788 to Dec. 1790,1788,1790,"Europe
wim sin BELGIUM HOLLAND",,BELGIUM,,"s)- BELGIUM
wx» Primarily Internal Magnitude- 56 Combatants- 40000",,ee Q Force- Ground Forces ‘ex $i- Colonial,,,,,,"Successful Conmitter
gxete sie 1",
5-ocr-split/0012.tif-2.txt,RI REVOLUTION May. 1789 to Nov. 1799,1789,1799,,"FRANCE
am Primarily Internal Magnitude- 126 Cambatants- 30000","Europe
fern ste FRANCE
atc sie GOVERN. -FRANCE REVOLUTIONARIES-FR.",FRANCE,,,sl- J],,,20000,Ground Forces ‘m2 s)- Internal Tension Social Economical Elite,,Successful Committer,
5-ocr-split/0012.tif-3.txt,"""LT OF STEIERMARK AND KARNTEN Jun. 1789 to 1789
jes.o¢.i3}- Europe",1789,1789,5)- 1,,,| STEIERMARK/KARNTEN-G,"GERMANY/PRUSSIA
“i+ Primarily Internal Magnitude- 3  Combatants- 20000
er AS - 0 Force- Ground Forces",,,,,,,Unsuccess. Committer,,
5-ocr-split/0012.tif-4.txt,posse MMPAIGN INTO NEPAL 1790 to 1792,1790,1792,"CHINA NEPAL
TIBET",NEPAL TIBET,,CHINA,Asia,,Conventional Interstate,72,980000,,,1,Successful Cammitter,
5-ocr-split/0013.tif-1.txt,»REVOLT OF THE BLACKS IN SANTO DOMINGO 1791 to 1794,1791,1794,Americas,FRANCE HAITI,(s)- BLACKS-SANTO DOMINGO,BLACKS-SANTO DOMINGO,HAITI,,Internal(External Invol.),72,40000,2000,Ground Forces,Colonial,Unsuccess. Committer,1
5-ocr-split/0013.tif-2.txt,- INSURRECTION OF THE UNITED IRISHMEN 1791 to Sep. 1803,1791,1803,Europe,"BRITAIN IRELAND/EIRE
FRANCE",UNITED IRISHMEN,UNITED IRISHMEN,IRELAND/EIRE,FRANCE,Primarily Internal,368,20000,QO,Ground Forces,"Territory-Population Colonial
Elite",Unsuccess. Conmitter,1 7
5-ocr-split/0013.tif-3.txt,«WAR OF THE FRENCH REVOLUTION Apr. 1792 to Mar. 1795,1792,1795,Europe,"FRANCE BRITAIN
HOLLAND SPAIN
ITALY/SARDINIA AUSTRIA-HUNGARY
GERMANY/PRUSSIA",,FRANCE,"FRANCE HOLLAND
SPAIN ITALY/SARDINIA
AUSTRIA-HUNGARY GERMANY/PRUSSIA",,Conventional Interstate,245,1200000,550000,Naval Forces Ground Forces,"Internal Tension Social Economical
Elite Military-Strategic",Successful Conmitter,1
5-ocr-split/0014.tif-1.txt,7. SAND PARTITION May. 1792 to 1793,1792,1793,Europe,"RUSSIA (USSR) AUSTRIA-HUNGARY
GERMANY/PRUSSIA POLAND",,"RUSSIA (USSR) AUSTRIA-HUNGARY
GERMANY/PRUSSIA",POLAND,,Internal(External Invol.),52,80000,15000,Ground Forces,"Territory-Population Military-Strategic
Opportunism",Successful Committer,1
5-ocr-split/0014.tif-2.txt,£.85 OF THE VENDEE Mar. 1793 to Mar. 1796,1793,1796,FRANCE,,,FRANCE,FRANCE,,Primarily Internal,36,150000,60000,Ground Forces,Internal Tension Social Economical,Unsuccess. Committer,1
5-ocr-split/0014.tif-3.txt,-.20LAND PARTITION Mar. 1794 to Oct. 1795,1794,1795,Europe,"GERMANY/PRUSSIA AUSTRIA-HUNGARY
RUSSIA (USSR) POLAND",,"| GERMANY/PRUSSIA AUSTRIA-HUNGARY
RUSSIA (USSR)",POLAND,,Internal (External Invol.),76,50000,30000,Ground Forces,"Territory-Population Military-Strategic
Opportunism",Successful Camnmitter,1
5-ocr-split/0015.tif-1.txt,(SO/WAR OF THE FRENCH REVCLUTION Maz. 1795 to Oct. 1797,1795,1797,Europe,"FRANCE AUSTRIA -HUNGZRY
BRITAIN NTALY/SARDINIA
GERMANY/PRU:SSTA",,FRANCE,"FRENCE AWISTRIA-HUNSARY
TTALY/SARDINIA -GERMANY,’ PRUSSTA",,Corvencional Interstate,i155,4C€0009,23.0000,Naval Fer res Groind Ferces,"Internal Tens:.on Seocia!, Econmnical
Elite Militatcy-Stratecic",)- Successful Ccamittec,1
5-ocr-split/0015.tif-2.txt,51.MIAOTSEU REBFLI.ION 1795 tc 1737,1795,1737,Asia,CHINA,MIANSEI-AOMA,MUAOTSFU-CJINA.,CH.NE.,,Frimaci.ly Irterual,24,60000,75000,Ground Forces,Iatzemali Tension,Unsuccess. Oommitter,i
5-ocr-split/0015.tif-3.txt,52.WHITE JOTUS UPRISING 1795 to 3.603,1795,3.603,Asia,‘s\- CHOWA,(S)- WHIT TOTIS-CHDVA,WEITE LOTUS-CHIMA,")- CHINA
lf4xie- Primaciiy Iaterral Magnitice- 96 Cambatants- 90CCC",,,,,29900,Gnound Forces,Internal Tension Tecritory-Posulation,Unsuccess. Curritier Campramnise Responder,1
5-ocr-split/0015.tif-4.txt,53 .MONTENEGRD REVOLT 279E tO 1796,279E,1796,Mid. Ease,TURKS MCNTENBSRO,,MONTENEGRC.,MONTENAIGRO,,Primariiy Internal.,32,30C0C,G,Ground Forces,Colonial Territory-Population,Successful Committerc,i
5-ocr-split/0016.tif-1.txt,"- BIS -
”
“es OF THE FRENCH REVOLUTION RESUMED Oct. 1797 to Mar. 1802",1797,1802,"FRANCE ITALY/SARDINIA
SWITZERLAND EGYPT
TURKEY RUSSIA (USSR)
AUSTRIA-HUNGARY PORTUGAL
GERMANY/PRUSSIA SPAIN
DENMARK HOLLAND
BRITAIN",Europe,,FRANCE ;,"TTALY/SARDINIA EGYPT
BRITAIN TURKEY
AUSTRIA-HUNGARY",,Conventional Interstate,689,60000,200000,Naval Forces Ground Forces,"Territory-Population Military-Strategic
Social Economical Elite",Successful Conmitter,1
5-ocr-split/0016.tif-2.txt,3. RUSSIAN CONQUEST OF CAUCASUS 1801 to 1829,1801,1829,Europe,"RUSSIA (USSR) GEORGIA
IRAN/PERSIA",,RUSSIA (USSR),GEORGIA IRAN/PERSIA,,Conventional Interstate,1008,60000,O,Ground Forces,Territory-Population,Successful Canmitter,1
5-ocr-split/0016.tif-3.txt,%-STRUGGLE FOR HAITI INDEPENDENCE Feb. 1802 to Jan. 1804,1802,1804,Americas,FRANCE HAITI,(s)- BLACKS-SANTO DOMINGO,HAITI,HAITI,,Primarily Internal,46,50000,12000,Ground Forces,Colonial,Successful Committer,1
5-ocr-split/0017.tif-1.txt,"- B1l6 -
57.NAPOLEONIC WAR May. 1803 to Dec. 1805",1803,1805,Europe,"FRANCE BRITAIN
RUSSIA (USSR) AUSTRIA-HUNGARY
GERMANY/PRUSSIA",,FRANCE,RUSSIA (USSR) GERMANY/PRUSSIA,,Conventional Interstate,155,600000,120000,Naval Forces Ground Forces,"Territory-Population Military-Strategic
Social Economical Elite",Successful Committer,1
5-ocr-split/0017.tif-2.txt,58.SERBIAN UPRISING IN KARAGEORGES Mar. 1804 to Oct. 1813,1804,1813,Mid. East,TURKEY YUGOSLAVIA/SERBIA,SERBS-YUGOSLAVIA.,SERBS-YUGOSLAVIA,YUGOSLAVIA/SERBIA,,Primarily Internal,230,60000,O,Ground Forces,"Internal Tension Territory-Population
Colonial",Unsuccess. Conmitter,Il
5-ocr-split/0017.tif-3.txt,59.NAPOLEONIC WAR WITH PRUSSIA AND RUSSIA Jan. 1806 to Jul. 1807,1806,1807,Europe,"FRANCE BRITAIN
RUSSIA (USSR) AUSTRIA-HUNGARY
DENMARK PORTUGAL
SPAIN GERMANY/PRUSSIA",,FRANCE,"RUSSIA (USSR) AUSTRIA-HUNGARY
DENMARK PORTUGAL
SPAIN GERMANY/PRUSSIA",,Conventional Interstate,144,800000,300000,Naval Forces Ground Forces,"Territory-Population Military-Strategic
Elite",Successful Committer,1
5-ocr-split/0018.tif-1.txt,+ .2SS0-TURKISH WAR Oct. 1806 to May. 1812,1806,1812,Mid. East,RUSSIA (USSR) TURKEY,,RUSSIA (USSR),TURKEY,,Conventional Interstate,134,150000,QO,Ground Forces,Territory-Population Military-Strategic,Successful Committer,1 3
5-ocr-split/0018.tif-2.txt,2. 1CH COLONIZATION OF SUMATRA Jan. 1807 to 1837,1807,1837,Asia,"HOLLAND INDONESIA
MALAYSI (MALAYA)",PADRIS-INDONESIA,HOLLAND,SUMATRA-INDONESIA,,Colonial,1095,30000,1000,Naval Forces Ground Forces,Colonial,Successful Comnitter,1 3
5-ocr-split/0018.tif-3.txt,:2.REBELLIOW OF KOUKOU-NOR IN CHINA 1807 to 1807,1807,1807,Asia,CHINA,KOUKOV NOR-CHINA,KOUKOV NOR-CHINA,CHINA,,Primarily Internal,6,20000,5000,Ground Forces,Internal Tension Territory-Population,Unsuccess. Canmitter,1 3
5-ocr-split/0018.tif-4.txt,23.NAPOLFONIC WAR OF SPAIN Sep. 1807 to Oct. 1809,1807,1809,Europe,"FRANCE SPAIN
PORTUGAL BRITAIN",,FRANCE,SPAIN PORTUGAL,BRITAIN,Conventional Interstate,88,1100000,250000,Ground Forces ry),"Territory-Population Military-Strategic
Elite",Successful Committer,1
5-ocr-split/0019.tif-1.txt,"- Big -
64.RUSSO-SWEDISH WAR 1808 to Sep. 1809",1808,1809,Europe,RUSSIA (USSR) SWEDEN,,RUSSIA (USSR),RUSSIA (USSR) SWEDEN,,Conventional Interstate,30,50000,0,Naval Forces Ground Forces,"Territory-Population Military-Strategic
Colonial",Successful Committer,1
5-ocr-split/0019.tif-2.txt,65.NAPOLEONIC WAR OF SPAIN AND RUSSIA Oct. 1809 to May. 1814,1809,1814,Europe,"FRANCE SPAIN
BRITAIN PORTUGAL
RUSSIA (USSR)",,FRANCE,"FRANCE SPAIN
PORTUGAL RUSSIA (USSR)",,Conventional Interstate,275,1800000,600000,Naval Forces Ground Forces,"Territory-Population Military-Strategic
Elite",Unsuccess. Conmitter,1
5-ocr-split/0019.tif-3.txt,66.ARGENTINA INDEPENDENCE( SAN MARTIN) May. 1810 to Jul. 1816,1810,1816,Americas,SPAIN ARGENTINA,,ARGENTINA,ARGENTINA,,Colonial,148,20000,5000,Ground Forces .,Colonial,Successful Conmitter,1
5-ocr-split/0020.tif-1.txt,"- BI9 -
** GREAT COLOMBIA INDEPENDENCE 1810 to 1822",1810,1822,Americas,"SPAIN COLOMBIA
VENEZUELA ECUADOR
BOLIVIA",,"ECUADOR VENEZUELA
COLOMBIA","COLOMBIA VENEZUELA
ECUADOR",,Colonial,720,20000,5000,Ground Forces,Colonial,Successful Conmitter,1 3
5-ocr-split/0020.tif-2.txt,se.PARAGUAY INDEPENDENCE 1810 to 1811,1810,1811,Americas,SPAIN PARAGUAY,,PARAGUAY,- PARAGUAY,,Colonial,24,20000,2000,Ground Forces,Colonial,Successful Conmitter,1 3
5-ocr-split/0020.tif-3.txt,2.MEXICO INDEPENDENCE (NEW SPAIN) 1810 to 1821,1810,1821,Americas,SPAIN MEXICO,,MEXICO,MEXICO,,Colonial,264,20000,5000,Ground Forces,Colonial,Successful Conmitter,1 3
5-ocr-split/0020.tif-4.txt,"*0,BOLIVIA INDEPENDENCE 1810 to Aug. 1825",1810,1825,Americas,SPAIN BOLIVIA,,BOLIVIA,BOLIVIA,,Colonial,364,20000,5000,Ground Forces,Colonial,Successful Committer,1 3
5-ocr-split/0021.tif-1.txt,71.PERU INDEPENDENCE (SANT. MARTIN SUCRE) 1810 to 1826,1810,1826,Americas,SPAIN PERU,,PERU,PERU,,Colonial,384,20000,5000,Ground Forces,Colonial,Successful Committer,1 3
5-ocr-split/0021.tif-2.txt,72 URUGUAY INDEPENDENCE 1810 to 1828,1810,1828,Americas,"SPAIN URUGUAY
BRAZIL ARGENTINA",,URUGUAY,URUGUAY,BRAZIL ARGENTINA,Colonial,648,20000,5000,Ground Forces,Colonial,Successful Committer,1 3
5-ocr-split/0021.tif-3.txt,73.CHILE INDEPENDENCE ( SAN MARTIN) Sep. 1810 to Feb. 1818,1810,1818,Americas,SPAIN CHILE,,CHILE,CHILE,,Colonial,178,20000,5000,Ground Forces,Colonial,Successful Conmmitter,1 3
5-ocr-split/0021.tif-4.txt,74.ENGLISH-AMERICAN WAR OF 1812 Jun. 1812 to Dec. 1814,1812,1812,Americas,"UNITED STATES BRITAIN
CANADA",,UNITED STATES,UNITED STATES CANADA,,Conventional Interstate,90,60000,O,Naval Forces ' Ground Forces,Territory-Population,Compramise Committer,1
5-ocr-split/0022.tif-1.txt,“< OPRISING IN PEKING AND HUNAN Oct. 1813 to Jan. 1814,1813,1814,Asia,CHINA,HUNAN-CHINA,| HUNAN-CHINA,CHINA,,Primarily Internal,tude- 3,40000,QO,Ground Forces,Internal Tension,Unsuccess. Committer,1
5-ocr-split/0022.tif-2.txt,%. SERBIAN UPRISING Aug. 1814 to Feb. 1815,1814,1815,Mid. East,TURKEY YUGOSLAVIA/SERBIA,SERBS-YUGOSLAVIA,§ SERBS-YUGOSLAVIA,YUGOSLAVIA/SERBIA,,Primarily Internal,12,40000,QO,Ground Forces,"Internal Tension Territory-Population
Colonial",Compromise Committer,1
5-ocr-split/0022.tif-3.txt,“T .SWEDISH-DANISH WAR Nov. 1814 to Aug. 1815,1814,1815,Europe,"SWEDEN DENMARK
NORWAY RUSSIA (USSR)
FINLAND",,SWEDEN,NORWAY,,Conventional Interstate,45,15000,O,Ground Forces,Territory-Population,Campromise Conmitter,1
5-ocr-split/0023.tif-1.txt,78.FINAL NAPOLEONIC WAR Mar. 1815 to Jun. 1815,1815,1815,Europe,"FRANCE AUSTRIA-HUNGARY
BRITAIN RUSSIA (USSR)
BELGIUM HOLLAND
GERMANY/PRUSSIA",,FRANCE,"AUSTRIA-HUNGARY RUSSIA (USSR)
BELGIUM HOLLAND
GERMANY/PRUSSIA",,Conventional Interstate,21,1200000,110000,Ground Forces,"Territory-Population Military-Strategic
Social Econanical Elite",Unsuccess. Cammitter,1
5-ocr-split/0023.tif-2.txt,79 .DUTCH CONQUEST OF CENTRAL SUMATRA 1817 to 1837,1817,1837,Asia,HOLLAND INDONESIA,PALEMBANG-SUMATRA,HOLLAND,SUMATRA- INDONESIA,,Colonial,480,0,6000,Naval Forces Ground Forces,Social Economical Colonial,Successful Conmitter,3
5-ocr-split/0023.tif-3.txt,80.BRITISH-MAHARATTAN CAMPAIGN Nov. 1817 to Jun. 1818,1817,1818,Asia,BRITAIN INDIA,MAHARATTAN-INDILA,BRITAIN,INDIA,,Imperial -,14,350000,2000,Ground Forces,Colonial,Successful Conmmitter,2
